x,y,dotted
11.77,2.05,0
11.82168,2.0503199999999997,0
11.89464,2.05096,0
11.979759999999999,2.05144,0
12.067919999999999,2.0512799999999998,0
12.15,2.05,0
12.226,2.0476,0
12.302000000000001,2.0443999999999996,0
12.378,2.0404,0
12.453999999999999,2.0355999999999996,0
12.53,2.03,0
12.6068,2.02568,0
12.6844,2.02264,0
12.761599999999998,2.01776,0
12.837200000000001,2.00792,0
12.91,1.99,0
12.97952,1.9620799999999998,0
13.04656,1.92624,0
13.11184,1.8853600000000001,0
13.17608,1.84232,0
13.24,1.8,0
13.30344,1.75808,0
13.36592,1.7146400000000002,0
13.427679999999999,1.67016,0
13.48896,1.62512,0
13.55,1.58,0
13.610800000000001,1.5348000000000002,0
13.671199999999999,1.4891999999999999,0
13.731200000000001,1.4432,0
13.790799999999999,1.3968,0
13.85,1.35,0
13.91184,1.3018399999999999,0
13.97632,1.25232,0
14.03888,1.2028800000000002,0
14.09496,1.15496,0
14.14,1.11,0
14.166160000000001,1.0656,0
14.17648,1.0208,0
14.182720000000002,0.9792,0
14.19664,0.9444,0
14.23,0.92,0
14.287440000000002,0.9092000000000001,0
14.361120000000001,0.9096000000000001,0
14.444080000000001,0.9164000000000001,0
14.529359999999999,0.9248000000000001,0
14.61,0.93,0
14.686160000000001,0.93216,0
14.76248,0.93448,0
14.83872,0.9367200000000001,0
14.91464,0.93864,0
14.99,0.94,0
15.064480000000001,0.9406399999999999,0
15.138240000000001,0.9407199999999999,0
15.21176,0.94048,0
15.28552,0.94016,0
15.36,0.94,0
15.435360000000001,0.94,0
15.51128,0.94,0
15.58752,0.94,0
15.663839999999999,0.94,0
15.74,0.94,0
15.816,0.9403199999999999,0
15.892000000000001,0.9409599999999999,0
15.968,0.9414399999999999,0
16.044,0.9412799999999999,0
16.12,0.94,0
16.196640000000002,0.93408,0
16.273920000000004,0.9238399999999999,0
16.350880000000004,0.91456,0
16.426560000000002,0.91152,0
16.5,0.92,0
16.57216,0.9414400000000002,0
16.64368,0.97232,0
16.71312,1.01048,0
16.77904,1.0537600000000003,0
16.84,1.1,0
16.898239999999998,1.14952,0
16.95472,1.2037600000000002,0
17.006079999999997,1.2622399999999998,0
17.048959999999997,1.3244799999999999,0
17.08,1.39,0
17.09536,1.46024,0
17.097279999999998,1.53552,0
17.091519999999996,1.61368,0
17.08384,1.69256,0
17.08,1.77,0
17.08,1.846,0
17.08,1.9219999999999997,0
17.08,1.9979999999999998,0
17.08,2.074,0
17.08,2.15,0
17.08,2.2259999999999995,0
17.08,2.3019999999999996,0
17.08,2.3779999999999997,0
17.08,2.4539999999999997,0
17.08,2.53,0
17.08,2.6058400000000006,0
17.08,2.68152,0
17.08,2.75728,0
17.08,2.83336,0
17.08,2.91,0
17.080959999999997,2.98768,0
17.08288,3.0662399999999996,0
17.084319999999998,3.1449599999999998,0
17.08384,3.22312,0
17.08,3.3,0
17.07584,3.37752,0
17.072319999999998,3.45616,0
17.06488,3.5330399999999997,0
17.048959999999997,3.60528,0
17.02,3.67,0
16.976399999999998,3.7268800000000004,0
16.9212,3.7778400000000003,0
16.856800000000003,3.8233599999999996,0
16.7856,3.8639200000000002,0
16.71,3.9,0
16.63256,3.93432,0
16.551679999999998,3.96656,0
16.463520000000003,3.9926399999999997,0
16.364240000000002,4.00848,0
16.25,4.01,0
16.115840000000002,3.9867999999999997,0
15.96432,3.9415999999999998,0
15.80288,3.8899999999999997,0
15.638959999999999,3.8476,0
15.48,3.83,0
15.319920000000003,3.84568,0
15.153760000000002,3.88424,0
14.990639999999999,3.93296,0
14.83968,3.9791199999999995,0
14.71,4.01,0
14.607520000000003,4.0232,0
14.52616,4.0272,0
14.457040000000003,4.0256,0
14.391279999999998,4.021999999999999,0
14.32,4.02,0
14.243360000000001,4.01912,0
14.167279999999998,4.016959999999999,0
14.09152,4.01424,0
14.01584,4.011679999999999,0
13.94,4.01,0
13.863999999999999,4.009359999999999,0
13.787999999999998,4.00928,0
13.712,4.00952,0
13.636000000000001,4.00984,0
13.56,4.01,0
13.484,4.01,0
13.408,4.01,0
13.332,4.01,0
13.256,4.01,0
13.18,4.01,0
13.104,4.01,0
13.027999999999999,4.01,0
12.951999999999998,4.01,0
12.876000000000001,4.01,0
12.8,4.01,0
12.724000000000002,4.01,0
12.648000000000003,4.01,0
12.572,4.01,0
12.496,4.01,0
12.42,4.01,0
12.344,4.01016,0
12.267999999999999,4.010479999999999,0
12.191999999999998,4.01072,0
12.116,4.0106399999999995,0
12.04,4.01,0
11.963999999999999,4.00848,0
11.888,4.00624,0
11.812,4.003760000000001,0
11.736,4.00152,0
11.66,4.0,0
11.584,3.99936,0
11.508,3.99928,0
11.431999999999999,3.99952,0
11.356,3.99984,0
11.28,4.0,0
11.20416,3.99984,0
11.12848,3.99952,0
11.05272,3.99928,0
10.97664,3.99936,0
10.9,4.0,0
